prefLabel;technicalName;description;partOfGroup;conceptsFromScheme;freeConcepts;referencePeriodStart;referencePeriodEnd;dataset.referencePeriodStart;dataset.referencePeriodEnd;valueDomainType;quantity.prefLabel;quantity.id;unit.prefLabel;unit.id;unit.symbol;valueRangeMin;valueRangeMax;codeList.prefLabel;codeList.id;codeList.description;codeList.owner;codeList.referenceId;codeList.codeListType;codeList.codeItems;missingValues;defaultMissingValue;qualityStatement;source.dataset.prefLabel;source.dataset.id;source.description;dataType;dataFormat;unitType.prefLabel;unitType.id;unitType.description;dataset.unitType.prefLabel;dataset.unitType.id;dataset.unitType.description;study.unitType.prefLabel;study.unitType.id;study.unitType.description;instanceQuestions;id;dataset.prefLabel;dataset.id;study.prefLabel;study.referencePeriodStart;study.referencePeriodEnd;published;lastModifiedDate;variable.prefLabel;variable.id;variable.description;ownerOrganizationIdAsString
Yksilˆiv‰ tunniste;CDA_ID;Asiakirjan yksilˆiv‰ tunniste, yksilˆllinen jokaisella asiakirjarivill‰. Toimitetaan salattuna aineistokohtaisesti.;Tekninen ja aika;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;numeric;;;;;;;;;;;;0b7dc062-ec8c-46f5-a053-1a5dc30a2f05;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Asiakirjaryhm‰n tunniste;DOC_GROUP;Tunniste on sama kuin asiakirjan yksilˆiv‰ tunniste (CDA_ID) siihen liittyv‰ss‰ l‰‰kem‰‰r‰yksess‰, jonka pohjalta l‰‰ketoimitus on tehty. Kun halutaan lˆyt‰‰ l‰‰ketoimitukseen liittyv‰ l‰‰kem‰‰r‰ys, on etsitt‰v‰ l‰‰ketoimituksen DOC_GROUP:ia vastaava l‰‰kem‰‰r‰yksen CDA_ID. Toimitetaan salattuna aineistokohtaisesti.;Tekninen ja aika;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;57f452c1-8868-4916-93d8-2c635866fdba;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Luontipvm;CREATION_DATE;Asiakirjan luontip‰iv‰m‰‰r‰ muodossa DATE;Tekninen ja aika;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;date;;;;;;;;;;;;84572352-0611-4357-8983-d13ae79d7088;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
P‰iv‰m‰‰r‰;DATE_PK;Asiakirjan luontip‰iv‰m‰‰r‰ numeerisessa muodossa vvvvkkpp;Tekninen ja aika;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;numeric;;;;;;;;;;;;295a3dc7-f76b-495c-8758-19b9142cea7b;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Reseptin status;RESEPTISTATUS;Reseptistatus kertoo sen, tarvitseeko ko. l‰‰ke reseptin, jotta sit‰ voidaan toimittaa, eli onko l‰‰ke reseptil‰‰ke vai ei. Arvot 1 = tarvitsee reseptin ja 0 = ei tarvitse resepti‰. Tiedot perustuvat kansalliseen l‰‰ketietokantaan.;Tekninen ja aika;;;;;2010-05-01;;enumerated;;;;;;;;Reseptin status;713ce7fd-1c06-49de-b639-cc402e7161f9;;;;internal;"Ei:0;Kyll‰:1";;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;2e36712d-1a0d-4a22-805d-1005e53a3186;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Toimituksen tila;DELIVERY_STATUS;Toimituksen tila (onko kokonaan toimitettu);Tekninen ja aika;;;;;2010-05-01;;enumerated;;;;;;;;Toimituksen tila;71763d5a-7331-4696-961e-edd86b506da9;;;;internal;"Ei:0;Kyll‰:1";;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;36ad9ebd-5ed0-4102-b9f6-3bceeab2e56a;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
HETU;PATIENT_ID;Henkilˆtunnus, joka toimitetaan tilaajalle pseudonymisoituna.;Potilas, erikoisala, organisaatio;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;ei hetua;;;;Kanta tietovarasto;character;;;;;;;;;;;;d3f96a45-6ee1-4826-a8ec-9c3c7f73b0cb;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Potilaan syntym‰aika;PATIENT_BIRTHTIME;Potilaan syntym‰aika;Potilas, erikoisala, organisaatio;;;;;2010-05-01;;described;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;date;;;;;;;;;;;;0d015e50-8aa8-41c8-a3ea-4e15d36b18fd;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Potilaan sukupuoli;PATIENT_GENDER;Potilaan sukupuoli;Potilas, erikoisala, organisaatio;;;;;2010-05-01;;enumerated;;;;;;;;Sukupuoli;fbb85e71-cdcc-4ca5-b57e-9cf2f10fe136;;;;internal;"Tuntematon:0;Mies:1;Nainen:2;Ei tiedossa/m‰‰ritelt‰viss‰:3;M‰‰rittelem‰tt‰, eli sukupuolta ei ole m‰‰ritelty:9";;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;31a99266-ba73-4304-845a-7d59ea6f40f5;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
Organisaation yksilˆiv‰ salattu tunniste;ORGANIZATION_OID_SALATTU;L‰‰kkeen toimittaneen apteekin OID-tunnisteesta muodostettu salattu yksilˆiv‰ tunniste.;Potilas, erikoisala, organisaatio;;;;;2010-05-01;;enumerated;;;;;;;;;;;;;;;;NULL;;;;Kanta tietovarasto;character;;;;;;;;;;;;611fe636-48d9-4485-b171-543ad67b7e81;L‰‰ketoimitukset (Kanta - Reseptikeskus);0d173c62-57ff-4dfe-8bdd-1065e63217b9;L‰‰kkeet;1993-01-01;;true;2025-02-17;;;;
