prefLabel;technicalName;description;partOfGroup;conceptsFromScheme;freeConcepts;referencePeriodStart;referencePeriodEnd;dataset.referencePeriodStart;dataset.referencePeriodEnd;valueDomainType;quantity.prefLabel;quantity.id;unit.prefLabel;unit.id;unit.symbol;valueRangeMin;valueRangeMax;codeList.prefLabel;codeList.id;codeList.description;codeList.owner;codeList.referenceId;codeList.codeListType;codeList.codeItems;missingValues;defaultMissingValue;qualityStatement;source.dataset.prefLabel;source.dataset.id;source.description;dataType;dataFormat;unitType.prefLabel;unitType.id;unitType.description;dataset.unitType.prefLabel;dataset.unitType.id;dataset.unitType.description;study.unitType.prefLabel;study.unitType.id;study.unitType.description;instanceQuestions;id;dataset.prefLabel;dataset.id;study.prefLabel;study.referencePeriodStart;study.referencePeriodEnd;published;lastModifiedDate;variable.prefLabel;variable.id;variable.description;ownerOrganizationIdAsString
Palveluntuottaja;PALTU;Organisaatio tai itsenäinen ammatinharjoittaja, joka tuottaa palvelun.;Palveluntuottaja;"terveydenhuolto;palveluntuottajat;organisaatiot;sairaalat;terveyskeskukset;terveysasemat;Lääkäriasemat";;1994-01-01;;1994-01-01;;enumerated;;;;;;;;Toimipaikkarekisteri TOPI;ba75b6ed-661d-478d-902a-159bfb2b9989;Sosiaali- ja terveydenhuollon toimipaikkarekisterin (TOPI) koodilla yksilöidään hoitoilmoitusjärjestelmässä palveluntuottaja ja toimipaikka, jossa asiakas on saanut hoitoa.;Terveyden ja hyvinvoinnin laitos;https://thl.fi/fi/tilastot-ja-data/ohjeet-tietojen-toimittamiseen/hoitoilmoitusjarjestelma-hilmo/toimipaikkarekisteri-topi;external;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;31e81e2a-452b-45b4-87b4-5ebfd9e574c8;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Palveluntuottajan palveluyksikkö;PALTUTAR;"Osasto, toimiala tai muu palvelutuottajan sisäinen yksikkö.

HUOM: Tietosisältöön liittyy laatuhuomioita, jotka saattavat vaikuttaa muuttujan hyödynnettävyyteen. Kyseessä vapaamuotoinen kenttä, ei voida luotettavasti yhdistää palveluntuottaja-organisaatiossa tiettyyn toimipisteeseen.";Palveluntuottaja;"terveydenhuolto;palveluntuottajat";;1994-01-01;;1994-01-01;;enumerated;;;;;;;;Toimipaikkarekisteri TOPI;ba75b6ed-661d-478d-902a-159bfb2b9989;Sosiaali- ja terveydenhuollon toimipaikkarekisterin (TOPI) koodilla yksilöidään hoitoilmoitusjärjestelmässä palveluntuottaja ja toimipaikka, jossa asiakas on saanut hoitoa.;Terveyden ja hyvinvoinnin laitos;https://thl.fi/fi/tilastot-ja-data/ohjeet-tietojen-toimittamiseen/hoitoilmoitusjarjestelma-hilmo/toimipaikkarekisteri-topi;external;;;(null);Vapaamuotoinen kenttä, ei voida luotettavasti yhdistää palveluntuottaja-organisaatiossa tiettyyn toimipisteeseen.;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;7eed1faf-02c9-4ac9-a460-2555a950a610;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Palvelutuottajan OID-koodi;OID;Terveydenhuollon palveluntuottajan ja sen sisäiset palveluyksiköt sähköisessä asiakas- ja potilastietojärjestelmässä yksilöivä OID-tunnus.;Palveluntuottaja;"terveydenhuolto;palveluntuottajat";;2010-01-01;;1994-01-01;;enumerated;;;;;;;;THL - SOTE - organisaatiorekisteri;92fce4a7-cee9-406b-a192-299d96d0a30f;THL - SOTE-organisaatiorekisteriin kootaan tiedot sosiaali- ja terveydenhuollon Y-tunnuksen omaavista organisaatioista, niiden toimintayksiköistä ja toimintayksiköiden palveluyksiköistä. Rekisterin avulla tunnistetaan valtakunnalliseen Kanta-järjestelmään liittyneet sosiaali- ja terveydenhuollon yksiköt. Rekisteriä käytetään Kanta-palveluissa potilasasiakirjojen tallentamiseen Potilastiedon arkistoon, reseptiasiakirjojen tallentamiseen Reseptikeskukseen, sosiaalihuollon asiakasasiakirjojen tallentamiseen Sosiaalihuollon asiakastiedon arkistoon sekä näiden asiakirjojen luovuttamiseen. SOTE-organisaatiorekisterin ylläpidosta vastaavat sosiaali- ja terveydenhuollon toimintayksiköt ja THL. ;Terveyden ja hyvinvoinnin laitos;1.2.246.537.6.202;external;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;15d96d57-ea68-42e3-927f-ce5d9f611d39;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Hoitojaksotunniste;HJNO;Käynnin tai hoitojakson (ml. päiväkirurgia ja päiväsairaala) yksikäsitteinen tunniste (seurantatietue).;Asiakas/potilas;"terveydenhuolto;Hoitojakso";;2013-01-01;;1994-01-01;;described;;;;;;;;;;;;;;;;(null);Tietoa kerätty aluksi hoitojaksoista ja myöhemmin myös käynneistä. Käytännössä sama asia kuin seurantatietueen tunnus.;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;fcbf4d34-9836-44e0-b6fe-6f4863f693b5;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Seurantatietueen päivitys;SEURANTATIETUE_PAIVITETTY;Seurantatietueen päivitysaika;Asiakas/potilas;"terveydenhuolto;Hoitojakso";;2019-01-01;;1994-01-01;;described;;;;;;;;;;;;;;;;(null);;;;;Date;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;c54b451d-f75d-42d2-a2d5-1bdc652be517;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Palveluala;PALA;"Asiakkaalle/potilaalle toimintayksikössä annetun hoidon tyyppi.
HUOM! Vuoden 2019 alusta HILMO- yhteystapa ja HILMO - kiireellisyys korvannut. Aikasarjoissa tulee huomioida molemmat muuttujat.";Asiakas/potilas;"terveydenhuolto;hoito;avohoito;laitoshoito;Päiväkirurgia;vuodeosastohoito;päihdehuolto";;1994-01-01;2018-12-31;1994-01-01;;enumerated;;;;;;;;Hilmo - Palvelualat;461c904f-6adc-4b7f-8295-95c1896b9581;Hilmo - Palvelualat -luokitusta käytetään sosiaalihuollon valtakunnallisissa hoitoilmoituksissa (Hilmo) kuvaamaan, minkä tyyppistä hoitoa toimintayksikössä henkilölle on annettu. Toimintayksikön toiminnan muuttuessa voi yksikön tai sen osan palveluala muuttua.;Terveyden ja hyvinvoinnin laitos;1.2.246.537.6.18;external;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;7955d48a-34c3-4d42-9b0f-00135a3b7c16;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Erikoisala;EA;Potilaan saama hoito tietyllä terveydenhuollon erikoisalalla.;Asiakas/potilas;"terveydenhuoltoala;erikoisalat;Hoitotyön erikoisalat";;1994-01-01;;1994-01-01;;enumerated;;;;;;;;Hilmo - Terveydenhuollon erikoisalat;088bde90-5e31-4d77-a301-9769e52520c6;HILMO - Terveydenhuollon erikoisalat -luokitusta käytetään sosiaali- ja terveydenhuollon valtakunnallisessa hoitoilmoitusjärjestelmässä (HILMO) kuvaamaan potilaan saamaa hoitoa tietyllä terveydenhuollon erikoisalalla. Luokitusta käytetään lisäksi potilastiedon arkistossa asiakirjojen kuvailutiedoissa. Kyseessä on potilaan hoidollinen erikoisala, joka merkitään potilaan saaman hoidon, ei toimintayksikön hallinnollisen organisaation mukaan. Luokitusta voidaan käyttää tarkentamaan palvelualaa kuvaavaa tietoa.;Terveyden ja hyvinvoinnin laitos;1.2.246.537.6.24;external;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;ac31a914-71d3-42ea-9fe7-c502571aec3a;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Hoidon kiireellisyys;KIIREELLISYYS;Asiakkaan tai potilaan tarvitseman hoidon kiireellisyyden arviointi.;Asiakas/potilas;terveydenhuolto;;2019-01-01;;1994-01-01;;enumerated;;;;;;;;PTHAVO - Hoidon kiireellisyys/HILMO - Hoidon kiireellisyys;fe7f6e5b-a557-4562-833e-adb91abb6907;Hilmo - Hoidon kiireellisyys -luokitusta käytetään valtakunnallisissa hoitoilmoituksissa (Hilmo) kuvaamaan asiakkaan tai potilaan tarvitseman hoidon kiireellisyyttä.;Terveyden ja hyvinvoinnin laitos;1.2.246.537.6.121;external;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;ab6cb83d-3552-48d1-b153-b2efb04e8872;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Yhteystapa;YHTEYSTAPA;Ammattihenkilön ja asiakkaan välisen vuorovaikutuksen tapa.;Asiakas/potilas;terveydenhuolto;;2019-01-01;;1994-01-01;;enumerated;;;;;;;;PTHAVO - Yhteystapa / Hilmo - Yhteystapa;c64d394f-962a-47d0-b8c5-b92bd0905c28;Hilmo - Yhteystapa -luokitusta käytetään valtakunnallisissa hoitoilmoituksissa (Hilmo) kuvaamaan ammattihenkilön ja asiakkaan välisen vuorovaikutuksen tapaa.;Terveyden ja hyvinvoinnin laitos;1.2.246.537.6.127;external;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;241abcbc-8eed-48d5-b6ed-e1f087168c73;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
Käynnin toteuttajan ammattioikeus;AMMATTIOIKEUS;Ammattihenkilön ammattiasemaan liittyvät ammattioikeudet terveydenhuollon ammattihenkilöiden keskusrekisterissä (Terhikki). Käynnin toteuttaja on ammattihenkilö, joka tutkii ja/tai hoitaa potilasta käynnin aikana sekä tekee merkinnät potilasasiakirjoihin. Ilmoitetaan vain avohoitokäyntien tiedoissa.;Palveluntuottaja;"terveydenhuoltohenkilöstö;Hoitotyö";;2019-01-01;;1994-01-01;;enumerated;;;;;;;;Valvira - Ammattioikeudet 2008;a899126b-e92e-45b4-aaa4-0cffcecf65bf;Valvira - Ammattioikeudet - koodistoluokituksella kuvataan sosiaali- ja terveydenhuollon ammattihenkilöiden ammattiasemaan liittyvät ammattioikeudet terveydenhuollon ammattihenkilöiden keskusrekisterissä (Terhikki). ;;1.2.246.537.6.140.2008;external;;;(null);;;;;Character;;;;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;Hoitojakso tai -käynti;2be7059a-bed5-4054-8094-4374940265a6;;;f4ed4597-7d16-4d6a-95bf-43d012491b3c;Terveydenhuollon hoitoilmoitusrekisteri 1994-;61def239-4ba0-42ad-aba3-9b280b35e37d;Kansallinen hoitoilmoitusrekisteri-kokonaisuus;1969-01-01;;true;2025-02-11;;;;
